TrialNumber,color,word,ran,order,RT,accuracy
1,red,G,1.0,0.0,--,-1.0
2,green,G,1.0,1.0,0.632746,-1.0
3,red,R,1.0,2.0,0.499801,1.0
4,green,R,1.0,3.0,0.733084,-1.0
5,green,G,1.0,4.0,0.499972,-1.0
6,red,R,1.0,5.0,0.483542,1.0
7,green,R,1.0,6.0,1.13532,-1.0
8,red,G,1.0,7.0,0.616577,1.0
9,red,R,1.0,8.0,0.583284,1.0
10,green,R,1.0,9.0,--,-1.0
11,green,G,1.0,10.0,0.433312,-1.0
12,red,G,1.0,11.0,0.448844,1.0
13,green,G,1.0,12.0,0.482807,1.0
14,green,R,1.0,13.0,1.09951,1.0
15,red,R,1.0,14.0,0.616671,1.0
16,red,G,1.0,15.0,--,1.0
17,red,R,1.0,16.0,0.48399,-1.0
18,green,R,1.0,17.0,0.766434,-1.0
19,green,G,1.0,18.0,0.516846,1.0
20,red,G,1.0,19.0,0.43381,-1.0
21,red,G,1.0,20.0,0.900017,1.0
22,green,G,1.0,21.0,0.433421,-1.0
23,green,R,1.0,22.0,0.883355,-1.0
24,red,R,1.0,23.0,2.46644,1.0
25,green,R,1.0,24.0,0.466928,-1.0
26,green,G,1.0,25.0,0.566605,1.0
27,red,G,1.0,26.0,0.616862,1.0
28,red,R,1.0,27.0,1.05007,1.0
29,green,G,1.0,28.0,0.566695,1.0
30,green,R,1.0,29.0,0.550188,-1.0
31,red,G,1.0,30.0,0.616773,1.0
32,red,R,1.0,31.0,0.599719,1.0
33,red,R,1.0,32.0,0.533268,1.0
34,green,R,1.0,33.0,0.75044,1.0
35,green,G,1.0,34.0,0.566502,1.0
36,red,G,1.0,35.0,0.665978,1.0
37,green,R,1.0,36.0,--,-1.0
38,red,G,1.0,37.0,0.0333082,1.0
39,green,G,1.0,38.0,1.15019,1.0
40,red,R,1.0,39.0,--,-1.0
